"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"46",1,"Spectrogram 1",1,14869.96891207,19348.400234203,36.905,3749.585,2023-08-05,06:36:00,07:50:39,4478.4313,"Transit",NA,NA,"2023/8/5","202306","ABW",1.24400869444444,2023-08-05 06:36:00,2023-08-05 14:36:00,14,2023-08-05,"Saturday"
"47",2,"Spectrogram 1",1,35858.265366338,37732.905523527,20.877,19545.081,2023-08-05,12:25:48,12:57:03,1874.6402,"Maneuver",NA,NA,"2023/8/5","202306","ABW",0.520733388888889,2023-08-05 12:25:48,2023-08-05 20:25:48,20,2023-08-05,"Saturday"
"48",1,"Spectrogram 1",1,72410.883759892,84842.606581391,41.754,3006.263,2023-08-06,22:34:49,02:02:00,12431.7228,"Transit",NA,NA,"2023/8/6","202306","ABW",3.45325633333333,2023-08-06 22:34:49,2023-08-07 06:34:49,6,2023-08-07,"Monday"
"49",1,"Spectrogram 1",1,51623.019882108,58051.21999921,14.762,13049.737,2023-08-07,16:48:10,18:35:18,6428.2001,"Transit",NA,NA,"2023/8/7","202306","ABW",1.78561113888889,2023-08-07 16:48:10,2023-08-08 00:48:10,0,2023-08-08,"Tuesday"
"50",2,"Spectrogram 1",1,72388.474807735,79566.948402786,22.143,6701.461,2023-08-07,22:34:14,00:33:53,7178.4736,"Transit",NA,NA,"2023/8/7","202306","ABW",1.99402044444444,2023-08-07 22:34:14,2023-08-08 06:34:14,6,2023-08-08,"Tuesday"
"51",3,"Spectrogram 1",1,82384.565562824,86393.412645833,36.905,7174.403,2023-08-08,01:20:50,02:27:39,4008.8471,"Transit","Y",NA,"2023/8/7","202306","ABW",1.11356863888889,2023-08-08 01:20:50,2023-08-08 09:20:50,9,2023-08-08,"Tuesday"
"52",1,"Spectrogram 1",1,9098.807952843,19161.818510656,44.286,4974.843,2023-08-08,04:59:17,07:47:00,10063.0106,"Transit",NA,NA,"2023/8/8","202306","ABW",2.79528072222222,2023-08-08 04:59:17,2023-08-08 12:59:17,12,2023-08-08,"Tuesday"
"53",2,"Spectrogram 1",1,38317.704172908,39219.336218485,10.438,18204.593,2023-08-08,13:06:15,13:21:16,901.632,"Transit",NA,NA,"2023/8/8","202306","ABW",0.250453333333333,2023-08-08 13:06:15,2023-08-08 21:06:15,21,2023-08-08,"Tuesday"
"54",1,"Spectrogram 1",1,18919.256669217,27760.42260418,20.877,3616.726,2023-08-09,07:42:49,10:10:08,8841.1659,"Transit",NA,NA,"2023/8/9","202306","ABW",2.45587941666667,2023-08-09 07:42:49,2023-08-09 15:42:49,15,2023-08-09,"Wednesday"
"55",2,"Spectrogram 1",1,81632.489734941,86395.892441786,44.286,9311.065,2023-08-10,01:07:58,02:27:22,4763.4027,"Transit","Y",NA,"2023/8/9","202306","ABW",1.32316741666667,2023-08-10 01:07:58,2023-08-10 09:07:58,9,2023-08-10,"Thursday"
"56",1,"Spectrogram 1",1,16712.226208463,30515.185817071,28.706,2487.422,2023-08-12,07:05:35,10:55:37,13802.9596,"Transit",NA,NA,"2023/8/12","202306","ABW",3.83415544444444,2023-08-12 07:05:35,2023-08-12 15:05:35,15,2023-08-12,"Saturday"
"57",1,"Spectrogram 1",1,59897.30266352,74405.805464976,44.286,3277.196,2023-08-13,19:05:08,23:06:55,14508.5028,"Transit",NA,NA,"2023/8/13","202306","ABW",4.03013966666667,2023-08-13 19:05:08,2023-08-14 03:05:08,3,2023-08-14,"Monday"
