"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
236,95.721215125377,114.656405586037,"805830683.230627023433_sel5655_522.285564110909.wav",522.285564110909,-172.7,20,5000
259,94.7297056023143,113.999652175454,"805830683.230627023433_sel5677_531.667261742559.wav",531.667261742559,-172.7,20,5000
209,95.9097416690181,114.200841998079,"805830683.230627023433_sel5700_534.002793595601.wav",534.002793595601,-172.7,20,5000
125,95.9170047850544,114.899542702123,"805830683.230627023433_sel5723_536.420692294718.wav",536.420692294718,-172.7,20,5000
254,96.7595047401657,114.937271445349,"805830683.230627023433_sel5746_522.801091388394.wav",522.801091388394,-172.7,20,5000
216,95.7194499799732,114.94155712392,"805830683.230627023433_sel5768_514.873564003572.wav",514.873564003572,-172.7,20,5000
196,97.6715723997302,115.698072862872,"805830683.230627023433_sel5791_508.058051133825.wav",508.058051133825,-172.7,20,5000
219,95.9551460287975,115.445070085036,"805830683.230627023433_sel5814_500.637544066768.wav",500.637544066768,-172.7,20,5000
193,97.4330392384895,114.629341152625,"805830683.230627023433_sel5837_500.36527182097.wav",500.36527182097,-172.7,20,5000
208,97.0610078463485,115.040545571864,"805830683.230627023433_sel5859_495.628515732307.wav",495.628515732307,-172.7,20,5000
211,93.4177555517431,114.103250416882,"805830683.230627023433_sel5882_473.037780915686.wav",473.037780915686,-172.7,20,5000
197,97.238192514294,115.864442681619,"805830683.230627023433_sel5905_463.557937862547.wav",463.557937862547,-172.7,20,5000
209,97.1240103928758,115.866102920438,"805830683.230627023433_sel5928_479.528879066277.wav",479.528879066277,-172.7,20,5000
140,97.895376068806,116.318999387105,"805830683.230627023433_sel5929_477.883787949524.wav",477.883787949524,-172.7,20,5000
141,98.6850972131119,116.458793574321,"805830683.230627023433_sel5932_478.094723629384.wav",478.094723629384,-172.7,20,5000
194,96.176234386571,115.131491743273,"805830683.230627023433_sel5936_486.179833195045.wav",486.179833195045,-172.7,20,5000
251,95.3584981802648,114.582075262055,"805830683.230627023433_sel5940_514.975831264146.wav",514.975831264146,-172.7,20,5000
218,97.268723993421,115.206898242616,"805830683.230627023433_sel5944_544.491267408409.wav",544.491267408409,-172.7,20,5000
243,94.4270923742614,114.066128632424,"805830683.230627023433_sel5948_579.084294047471.wav",579.084294047471,-172.7,20,5000
193,92.2294427920109,111.997861362121,"805830683.230627023433_sel5952_615.163288404412.wav",615.163288404412,-172.7,20,5000
85,93.9286497939768,112.959964776612,"805830683.230627023433_sel5956_653.255926214522.wav",653.255926214522,-172.7,20,5000
85,94.2592847551821,113.510267383955,"805830683.230627023433_sel5960_680.342922605983.wav",680.342922605983,-172.7,20,5000
279,94.0272544373665,112.642742969125,"805830683.230627023433_sel5964_702.127954497579.wav",702.127954497579,-172.7,20,5000
280,91.8359030770991,111.794005519333,"805830683.230627023433_sel5967_717.977026878728.wav",717.977026878728,-172.7,20,5000
334,92.2490413955479,111.493090614572,"805830683.230627023433_sel5971_745.122841970313.wav",745.122841970313,-172.7,20,5000
