"","Selection","View","Channel","Begin_Time","End_Time","Low_Freq","High_Freq","Begin_Date","Begin_Clock","End_Clock","Delta_Time_s","Behavior","Partial","Notes","Begin_file_date","Dep","Site_ID","DeltaHours","Hr_time","Hr_local","Begin_Hour_loc","Begin_Date_loc","Weekday"
"32",1,"Spectrogram 1",1,24394.57538,29010.3995,52.3,745,2025-01-07,08:53:20,10:10:15,4615.8241,"Transit",NA,NA,"1/7/2025","202411","BRW",1.28217336111111,2025-01-07 08:53:20,2025-01-07 16:53:20,16,2025-01-07,"Tuesday"
"33",1,"Spectrogram 1",1,72150.43719,72760.41333,20.4,7326.5,2025-01-08,22:09:11,22:19:21,609.9761,"Maneuver",NA,NA,"1/8/2025","202411","BRW",0.169437805555556,2025-01-08 22:09:11,2025-01-09 06:09:11,6,2025-01-09,"Thursday"
"34",2,"Spectrogram 1",1,76863.19095,77961.34925,25.5,18760,2025-01-08,23:27:44,23:46:02,1098.1583,"Maneuver",NA,NA,"1/8/2025","202411","BRW",0.305043972222222,2025-01-08 23:27:44,2025-01-09 07:27:44,7,2025-01-09,"Thursday"
"35",3,"Spectrogram 1",1,79505.0201,80537.51005,32.5,16739.7,2025-01-09,00:11:46,00:28:59,1032.4899,"Maneuver",NA,NA,"1/8/2025","202411","BRW",0.28680275,2025-01-09 00:11:46,2025-01-09 08:11:46,8,2025-01-09,"Thursday"
"36",4,"Spectrogram 1",1,80667.62563,84703.0402,25.3,9033.6,2025-01-09,00:31:10,01:38:24,4035.4146,"Transit",NA,NA,"1/8/2025","202411","BRW",1.1209485,2025-01-09 00:31:10,2025-01-09 08:31:10,8,2025-01-09,"Thursday"
"37",5,"Spectrogram 1",1,84587.96231,86719.85165,10.2,5863.4,2025-01-09,01:36:30,02:12:01,2131.8893,"Maneuver","yes",NA,"1/8/2025","202411","BRW",0.592191472222222,2025-01-09 01:36:30,2025-01-09 09:36:30,9,2025-01-09,"Thursday"
"38",2,"Spectrogram 1",1,1176.761307,4041.904523,26.8,1264.6,2025-01-09,02:26:13,03:13:58,2865.1432,"Maneuver",NA,"LTSA","1/9/2025","202411","BRW",0.795873111111111,2025-01-09 02:26:13,2025-01-09 10:26:13,10,2025-01-09,"Thursday"
"39",3,"Spectrogram 1",1,7934.641962,8947.910806,38,5286.5,2025-01-09,04:18:51,04:35:44,1013.2688,"Maneuver",NA,"LTSA","1/9/2025","202411","BRW",0.281463555555556,2025-01-09 04:18:51,2025-01-09 12:18:51,12,2025-01-09,"Thursday"
"40",1,"Spectrogram 1",1,72316.0738,73176.38787,26.4,4555.4,2025-01-11,22:11:44,22:26:04,860.3141,"Maneuver",NA,"LTSA","1/11/2025","202411","BRW",0.238976138888889,2025-01-11 22:11:44,2025-01-12 06:11:44,6,2025-01-12,"Sunday"
"41",2,"Spectrogram 1",1,75926.28896,76065.78896,27.5,4120.9,2025-01-11,23:11:54,23:14:15,139.5,"Maneuver",NA,"LTSA","1/11/2025","202411","BRW",0.03875,2025-01-11 23:11:54,2025-01-12 07:11:54,7,2025-01-12,"Sunday"
"42",3,"Spectrogram 1",1,83810.80906,85720.82757,96,881.3,2025-01-12,01:23:20,01:55:10,1910.0185,"Maneuver",NA,"LTSA","1/11/2025","202411","BRW",0.530560694444444,2025-01-12 01:23:20,2025-01-12 09:23:20,9,2025-01-12,"Sunday"
"43",1,"Spectrogram 1",1,5036.246231,6750.316583,70.4,1412.1,2025-01-12,03:30:19,03:58:53,1714.0704,"Maneuver",NA,"LTSA","1/12/2025","202411","BRW",0.476130666666667,2025-01-12 03:30:19,2025-01-12 11:30:19,11,2025-01-12,"Sunday"
"44",2,"Spectrogram 1",1,38593.7896,70201.19095,46.8,680.7,2025-01-12,12:49:37,21:36:23,31607.4014,"Transit",NA,"very faint at points but there is a consistent band ~660 hz throughout","1/12/2025","202411","BRW",8.77983372222222,2025-01-12 12:49:37,2025-01-12 20:49:37,20,2025-01-12,"Sunday"
"45",3,"Spectrogram 1",1,84118.46482,88064.23259,26.9,10867.9,2025-01-13,01:28:21,02:34:08,3945.7678,"Transit","yes",NA,"1/12/2025","202411","BRW",1.09604661111111,2025-01-13 01:28:21,2025-01-13 09:28:21,9,2025-01-13,"Monday"
"46",2,"Spectrogram 1",1,3242.673367,60446.37186,48.878,10981.336,2025-01-13,03:00:21,18:53:43,57203.6985,"Maneuver",NA,"highest freq ~ 04:28:30, consisent band at 230 hz throughout, M at start","1/13/2025","202411","BRW",15.88991625,2025-01-13 03:00:21,2025-01-13 11:00:21,11,2025-01-13,"Monday"
"47",3,"Spectrogram 1",1,26165.94221,29728.13065,18.329,23070.581,2025-01-13,09:22:24,10:21:45,3562.1884,"Transit",NA,NA,"1/13/2025","202411","BRW",0.989496777777778,2025-01-13 09:22:24,2025-01-13 17:22:24,17,2025-01-13,"Monday"
"48",1,"Spectrogram 1",1,54271.03266,56701.16068,77.6,695.1,2025-01-14,17:10:45,17:51:15,2430.128,"Transit",NA,NA,"1/14/2025","202411","BRW",0.675035555555556,2025-01-14 17:10:45,2025-01-15 01:10:45,1,2025-01-15,"Wednesday"
"49",2,"Spectrogram 1",1,85975.35887,86734.61513,85.895,6197.7,2025-01-15,01:59:09,02:11:48,759.2562,"Maneuver","yes","LTSA, no soundclip","1/14/2025","202411","BRW",0.2109045,2025-01-15 01:59:09,2025-01-15 09:59:09,9,2025-01-15,"Wednesday"
"50",2,"Spectrogram 1",1,7050.400768,7958.575377,166.3,7313,2025-01-15,04:03:39,04:18:48,908.1746,"Maneuver",NA,NA,"1/15/2025","202411","BRW",0.252270722222222,2025-01-15 04:03:39,2025-01-15 12:03:39,12,2025-01-15,"Wednesday"
