"","Site_ID","Dep","Begin_Hour_loc","Behav","N_ves"
"123","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",16,"Total",2
"124","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",17,"Transit",2
"125","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",17,"Maneuver",0
"126","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",17,"Total",2
"127","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",18,"Transit",1
"128","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",18,"Maneuver",0
"129","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",18,"Total",1
"130","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",19,"Transit",0
"131","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",19,"Maneuver",2
"132","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",19,"Total",2
"133","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",20,"Transit",1
"134","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",20,"Maneuver",0
"135","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",20,"Total",1
"136","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",21,"Transit",1
"137","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",21,"Maneuver",0
"138","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",21,"Total",1
"139","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",22,"Transit",1
"140","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",22,"Maneuver",0
"141","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",22,"Total",1
"142","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",23,"Transit",0
"143","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",23,"Maneuver",0
"144","BRW","PARKSAUSTRALIA_BREMER_202411_BRW",23,"Total",0
