"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
120,95.2157029172612,112.089963086632,"8035.240429192700_sel141_727.7466177.wav",727.7466177,-176.6,40,1000
120,92.0237206754082,110.857148708434,"8035.240429192700_sel142_873.6097193.wav",873.6097193,-176.6,40,1000
120,94.3028137290817,111.363924868816,"8035.240429192700_sel143_920.8146317.wav",920.8146317,-176.6,40,1000
120,90.9121787686364,109.555727675388,"8035.240429192700_sel144_1096.922686.wav",1096.922686,-176.6,40,1000
196,84.0440559570721,105.328108529519,"8035.240429192700_sel145_1137.280683.wav",1137.280683,-176.6,40,1000
100,77.4130924809672,100.303327059685,"8035.240429192700_sel146_1227.357663.wav",1227.357663,-176.6,40,1000
40,105.61014584998,125.420189313489,"8035.240429192700_sel15_311.6629145.wav",311.6629145,-176.6,40,1000
40,105.104470925483,124.545973495411,"8035.240429192700_sel16_306.5723189.wav",306.5723189,-176.6,40,1000
41,110.602528670481,125.983950577239,"8035.240429192700_sel17_277.9819339.wav",277.9819339,-176.6,40,1000
46,105.532352615287,125.14582596429,"8035.240429192700_sel18_254.3486181.wav",254.3486181,-176.6,40,1000
41,106.264521949903,124.358686712979,"8035.240429192700_sel19_245.6161462.wav",245.6161462,-176.6,40,1000
40,106.489888131366,125.403888528983,"8035.240429192700_sel20_271.0693197.wav",271.0693197,-176.6,40,1000
40,108.175742139135,124.793562665914,"8035.240429192700_sel21_321.950803.wav",321.950803,-176.6,40,1000
43,107.916268662359,125.540007430047,"8035.240429192700_sel22_336.3420918.wav",336.3420918,-176.6,40,1000
43,108.023958233993,127.07651979961,"8035.240429192700_sel23_357.4478569.wav",357.4478569,-176.6,40,1000
40,111.218699922019,131.487932573631,"8035.240429192700_sel24_378.6150342.wav",378.6150342,-176.6,40,1000
149,98.386181023448,118.230649883071,"8035.240429192700_sel25_405.6414773.wav",405.6414773,-176.6,40,1000
187,99.2702244929198,117.477512671661,"8035.240429192700_sel26_425.8660761.wav",425.8660761,-176.6,40,1000
121,99.6370856447312,116.192729442194,"8035.240429192700_sel27_436.0570154.wav",436.0570154,-176.6,40,1000
208,93.4145233514707,115.119809797248,"8035.240429192700_sel28_460.1113283.wav",460.1113283,-176.6,40,1000
131,97.29847309833,115.852761240108,"8035.240429192700_sel29_484.8447319.wav",484.8447319,-176.6,40,1000
186,104.418630325918,117.291803008457,"8035.240429192700_sel30_538.0429404.wav",538.0429404,-176.6,40,1000
119,94.3737063519022,115.491064984677,"8035.240429192700_sel31_559.2430838.wav",559.2430838,-176.6,40,1000
122,95.8210175339264,115.695343978475,"8035.240429192700_sel32_562.8771083.wav",562.8771083,-176.6,40,1000
162,94.3757079693546,115.198431636076,"8035.240429192700_sel33_585.9403987.wav",585.9403987,-176.6,40,1000
162,96.8990281211583,116.163536874668,"8035.240429192700_sel34_541.5887848.wav",541.5887848,-176.6,40,1000
270,96.424226462793,117.32281719233,"8035.240429192700_sel35_499.5811081.wav",499.5811081,-176.6,40,1000
215,98.1006225976378,117.234382696063,"8035.240429192700_sel36_489.3258963.wav",489.3258963,-176.6,40,1000
