"","Begin_Date","Begin_Hour","Maneuver","Transit"
"1316",2025-01-20,19,0,0
"1317",2025-01-20,20,0,0
"1318",2025-01-20,21,0,0
"1319",2025-01-20,22,0,0
"1320",2025-01-20,23,0,0
"1321",2025-01-21,0,0,0
"1322",2025-01-21,1,0,0
"1323",2025-01-21,2,0,0
"1324",2025-01-21,3,0,0
"1325",2025-01-21,4,0,0
"1326",2025-01-21,5,0,0
"1327",2025-01-21,6,0,0
"1328",2025-01-21,7,0,0
"1329",2025-01-21,8,0,0
"1330",2025-01-21,9,0,0
"1331",2025-01-21,10,0,0
"1332",2025-01-21,11,0,0
"1333",2025-01-21,12,0,0
"1334",2025-01-21,13,0,0
"1335",2025-01-21,14,0,0
"1336",2025-01-21,15,0,0
"1337",2025-01-21,16,0,0
"1338",2025-01-21,17,0,0
"1339",2025-01-21,18,0,0
"1340",2025-01-21,19,0,0
"1341",2025-01-21,20,0,0
"1342",2025-01-21,21,0,0
"1343",2025-01-21,22,0,0
"1344",2025-01-21,23,0,0
"1345",2025-01-22,0,0,0
"1346",2025-01-22,1,0,0
"1347",2025-01-22,2,0,0
"1348",2025-01-22,3,0,0
"1349",2025-01-22,4,0,0
"1350",2025-01-22,5,0,0
"1351",2025-01-22,6,0,0
"1352",2025-01-22,7,0,0
"1353",2025-01-22,8,0,0
"1354",2025-01-22,9,0,0
"1355",2025-01-22,10,0,0
"1356",2025-01-22,11,0,0
"1357",2025-01-22,12,0,0
"1358",2025-01-22,13,0,0
"1359",2025-01-22,14,0,0
"1360",2025-01-22,15,0,0
"1361",2025-01-22,16,0,0
"1362",2025-01-22,17,0,0
"1363",2025-01-22,18,0,0
"1364",2025-01-22,19,0,0
"1365",2025-01-22,20,0,0
"1366",2025-01-22,21,0,0
"1367",2025-01-22,22,0,0
"1368",2025-01-22,23,0,0
"1369",2025-01-23,0,0,0
"1370",2025-01-23,1,0,0
"1371",2025-01-23,2,1,0
"1372",2025-01-23,3,0,0
"1373",2025-01-23,4,0,1
"1374",2025-01-23,5,0,0
"1375",2025-01-23,6,0,0
"1376",2025-01-23,7,0,0
"1377",2025-01-23,8,0,0
"1378",2025-01-23,9,0,0
"1379",2025-01-23,10,0,0
"1380",2025-01-23,11,0,0
"1381",2025-01-23,12,0,0
"1382",2025-01-23,13,0,0
"1383",2025-01-23,14,0,0
"1384",2025-01-23,15,0,0
"1385",2025-01-23,16,0,0
"1386",2025-01-23,17,0,0
"1387",2025-01-23,18,0,0
"1388",2025-01-23,19,0,0
"1389",2025-01-23,20,0,0
"1390",2025-01-23,21,0,0
"1391",2025-01-23,22,0,0
"1392",2025-01-23,23,0,0
"1393",2025-01-24,0,0,0
"1394",2025-01-24,1,0,0
"1395",2025-01-24,2,0,0
"1396",2025-01-24,3,0,0
"1397",2025-01-24,4,0,0
"1398",2025-01-24,5,0,0
"1399",2025-01-24,6,0,0
"1400",2025-01-24,7,0,0
"1401",2025-01-24,8,0,0
"1402",2025-01-24,9,0,0
"1403",2025-01-24,10,0,0
"1404",2025-01-24,11,0,0
"1405",2025-01-24,12,0,0
"1406",2025-01-24,13,0,0
"1407",2025-01-24,14,0,0
